Company,Form type,Filing date,Filings URL,Word Count,Negative Score,Positive Score,Polarity Score,Complex Word Count,Average Sentence Length,Percent of Complex Words,Fog Index
"Apple, Inc",10-K,10/30/2020,https://www.sec.gov/Archives/edgar/data/320193/000032019320000096/0000320193-20-000096.txt,,,,,,,,
"Apple, Inc",10-K,10/31/2019,https://www.sec.gov/Archives/edgar/data/320193/000032019319000119/0000320193-19-000119.txt,,,,,,,,
"Apple, Inc",10-K,11/5/2018,https://www.sec.gov/Archives/edgar/data/320193/000032019318000145/0000320193-18-000145.txt,,,,,,,,
"Apple, Inc",10-K,11/3/2017,https://www.sec.gov/Archives/edgar/data/320193/000032019317000070/0000320193-17-000070.txt,,,,,,,,
"Apple, Inc",10-K,10/26/2016,https://www.sec.gov/Archives/edgar/data/320193/000162828016020309/0001628280-16-020309.txt,,,,,,,,
"Tesla, Inc",10-K,2/8/2021,https://www.sec.gov/Archives/edgar/data/1318605/000156459021004599/0001564590-21-004599.txt,,,,,,,,
"Tesla, Inc",10-K,2/13/2020,https://www.sec.gov/Archives/edgar/data/1318605/000156459020004475/0001564590-20-004475.txt,,,,,,,,
"Tesla, Inc",10-K,2/19/2019,https://www.sec.gov/Archives/edgar/data/1318605/000156459019003165/0001564590-19-003165.txt,,,,,,,,
"Tesla, Inc",10-K,2/23/2018,https://www.sec.gov/Archives/edgar/data/1318605/000156459018002956/0001564590-18-002956.txt,,,,,,,,
"Tesla, Inc",10-K,3/1/2017,https://www.sec.gov/Archives/edgar/data/1318605/000156459017003118/0001564590-17-003118.txt,,,,,,,,
Microsoft Corp,10-K,7/30/2020,https://www.sec.gov/Archives/edgar/data/789019/000156459020034944/0001564590-20-034944.txt,,,,,,,,
Microsoft Corp,10-K,8/1/2019,https://www.sec.gov/Archives/edgar/data/789019/000156459019027952/0001564590-19-027952.txt,,,,,,,,
Microsoft Corp,10-K,8/3/2018,https://www.sec.gov/Archives/edgar/data/789019/000156459018019062/0001564590-18-019062.txt,,,,,,,,
Microsoft Corp,10-K,8/2/2017,https://www.sec.gov/Archives/edgar/data/789019/000156459017014900/0001564590-17-014900.txt,,,,,,,,
Microsoft Corp,10-K,7/28/2016,https://www.sec.gov/Archives/edgar/data/789019/000119312516662209/0001193125-16-662209.txt,,,,,,,,
Amazon Com Inc,10-K,2/3/2021,https://www.sec.gov/Archives/edgar/data/1018724/000101872421000004/0001018724-21-000004.txt,,,,,,,,
Amazon Com Inc,10-K,1/31/2020,https://www.sec.gov/Archives/edgar/data/1018724/000101872420000004/0001018724-20-000004.txt,,,,,,,,
Amazon Com Inc,10-K,2/1/2019,https://www.sec.gov/Archives/edgar/data/1018724/000101872419000004/0001018724-19-000004.txt,,,,,,,,
Amazon Com Inc,10-K,2/2/2018,https://www.sec.gov/Archives/edgar/data/1018724/000101872418000005/0001018724-18-000005.txt,,,,,,,,
Amazon Com Inc,10-K,2/10/2017,https://www.sec.gov/Archives/edgar/data/1018724/000101872417000011/0001018724-17-000011.txt,,,,,,,,
